"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] StringAttributeComparatorJaccard.scientificName record1Value","[0] StringAttributeComparatorJaccard.scientificName record2Value","[0] StringAttributeComparatorJaccard.scientificName record1PreprocessedValue","[0] StringAttributeComparatorJaccard.scientificName record2PreprocessedValue","[0] StringAttributeComparatorJaccard.scientificName similarity","[0] StringAttributeComparatorJaccard.scientificName postproccesedSimilarity","[1] StringAttributeComparatorLevenshtein.scientificName record1Value","[1] StringAttributeComparatorLevenshtein.scientificName record2Value","[1] StringAttributeComparatorLevenshtein.scientificName record1PreprocessedValue","[1] StringAttributeComparatorLevenshtein.scientificName record2PreprocessedValue","[1] StringAttributeComparatorLevenshtein.scientificName similarity","[1] StringAttributeComparatorLevenshtein.scientificName postproccesedSimilarity","[2] StringAttributeComparatorEqual.category record1Value","[2] StringAttributeComparatorEqual.category record2Value","[2] StringAttributeComparatorEqual.category record1PreprocessedValue","[2] StringAttributeComparatorEqual.category record2PreprocessedValue","[2] StringAttributeComparatorEqual.category similarity","[2] StringAttributeComparatorEqual.category postproccesedSimilarity","[3] StringListAttributeComparatorLevenshtein.commonNames record1Value","[3] StringListAttributeComparatorLevenshtein.commonNames record2Value","[3] StringListAttributeComparatorLevenshtein.commonNames record1PreprocessedValue","[3] StringListAttributeComparatorLevenshtein.commonNames record2PreprocessedValue","[3] StringListAttributeComparatorLevenshtein.commonNames similarity","[3] StringListAttributeComparatorLevenshtein.commonNames postproccesedSimilarity","[4] StringListAttributeComparatorJaccard.orders record1Value","[4] StringListAttributeComparatorJaccard.orders record2Value","[4] StringListAttributeComparatorJaccard.orders record1PreprocessedValue","[4] StringListAttributeComparatorJaccard.orders record2PreprocessedValue","[4] StringListAttributeComparatorJaccard.orders similarity","[4] StringListAttributeComparatorJaccard.orders postproccesedSimilarity","[5] StringListAttributeComparatorLevenshtein.orders record1Value","[5] StringListAttributeComparatorLevenshtein.orders record2Value","[5] StringListAttributeComparatorLevenshtein.orders record1PreprocessedValue","[5] StringListAttributeComparatorLevenshtein.orders record2PreprocessedValue","[5] StringListAttributeComparatorLevenshtein.orders similarity","[5] StringListAttributeComparatorLevenshtein.orders postproccesedSimilarity","[6] StringListAttributeComparatorJaccard.families record1Value","[6] StringListAttributeComparatorJaccard.families record2Value","[6] StringListAttributeComparatorJaccard.families record1PreprocessedValue","[6] StringListAttributeComparatorJaccard.families record2PreprocessedValue","[6] StringListAttributeComparatorJaccard.families similarity","[6] StringListAttributeComparatorJaccard.families postproccesedSimilarity","[7] StringListAttributeComparatorLevenshtein.families record1Value","[7] StringListAttributeComparatorLevenshtein.families record2Value","[7] StringListAttributeComparatorLevenshtein.families record1PreprocessedValue","[7] StringListAttributeComparatorLevenshtein.families record2PreprocessedValue","[7] StringListAttributeComparatorLevenshtein.families similarity","[7] StringListAttributeComparatorLevenshtein.families postproccesedSimilarity"
"WekaMatchingRule","BIO39200","http://www.wikidata.org/entity/q1832096",,"0","scenedesmus quadricuda var. maximum","scelidocteus berlandi","scenedesmus quadricuda var. maximum","scelidocteus berlandi","0.0","0.0","scenedesmus quadricuda var. maximum","scelidocteus berlandi","scenedesmus quadricuda var. maximum","scelidocteus berlandi","0.2571428571428571","0.2571428571428571","Nonvascular Plant","Spider/Scorpion","Nonvascular Plant","Spider/Scorpion","0.0","0.0","[none]","[scelidocteus berlandi]","[none]","[scelidocteus berlandi]","0.09523809523809523","0.09523809523809523","[sphaeropleales]","[xiphosura, araneae, xiphosurida]","[sphaeropleales]","[xiphosura, araneae, xiphosurida]","0.0","0.0","[sphaeropleales]","[xiphosura, araneae, xiphosurida]","[sphaeropleales]","[xiphosura, araneae, xiphosurida]","0.3571428571428571","0.3571428571428571","[scenedesmaceae]","[palpimanidae]","[scenedesmaceae]","[palpimanidae]","0.0","0.0","[scenedesmaceae]","[palpimanidae]","[scenedesmaceae]","[palpimanidae]","0.2142857142857143","0.2142857142857143"
"WekaMatchingRule","BIO35679","http://www.wikidata.org/entity/q1819100","0.01",,"proceratium pergandei","proavga longicellula","proceratium pergandei","proavga longicellula","0.0","0.0","proceratium pergandei","proavga longicellula","proceratium pergandei","proavga longicellula","0.19047619047619047","0.19047619047619047","Insect","Insect","Insect","Insect","1.0","1.0","[none]","[proavga longicellula]","[none]","[proavga longicellula]","0.15000000000000002","0.15000000000000002","[hymenoptera]","[hymenoptera]","[hymenoptera]","[hymenoptera]","1.0","1.0","[hymenoptera]","[hymenoptera]","[hymenoptera]","[hymenoptera]","1.0","1.0","[formicidae]","[braconidae]","[formicidae]","[braconidae]","0.0","0.0","[formicidae]","[braconidae]","[formicidae]","[braconidae]","0.4","0.4"
"WekaMatchingRule","BIO00795","http://www.wikidata.org/entity/q607535","0.0",,"agastache micrantha","agathis dammara","agastache micrantha","agathis dammara","0.0","0.0","agastache micrantha","agathis dammara","agastache micrantha","agathis dammara","0.368421052631579","0.368421052631579","Vascular Plant","Vascular Plant","Vascular Plant","Vascular Plant","1.0","1.0","[white giant hyssop]","[amboina pitch tree, dammar pine, agathis dammara]","[white giant hyssop]","[amboina pitch tree, dammar pine, agathis dammara]","0.16666666666666663","0.16666666666666663","[lamiales]","[pinales, araucariales]","[lamiales]","[pinales, araucariales]","0.0","0.0","[lamiales]","[pinales, araucariales]","[lamiales]","[pinales, araucariales]","0.5","0.5","[lamiaceae]","[araucariaceae]","[lamiaceae]","[araucariaceae]","0.0","0.0","[lamiaceae]","[araucariaceae]","[lamiaceae]","[araucariaceae]","0.5384615384615384","0.5384615384615384"
"WekaMatchingRule","BIO11550","http://www.wikidata.org/entity/q1135857",,"0","coryphantha scheeri","coryphantha echinus","coryphantha scheeri","coryphantha echinus","0.3333333333333333","0.3333333333333333","coryphantha scheeri","coryphantha echinus","coryphantha scheeri","coryphantha echinus","0.736842105263158","0.736842105263158",,,,,,,"[needle mulee]","[cory cactus hedgehog, rhinoceros cactus, sea urchin cactus, coryphantha echinus]","[needle mulee]","[cory cactus hedgehog, rhinoceros cactus, sea urchin cactus, coryphantha echinus]","0.17647058823529416","0.17647058823529416","[caryophyllales]","[caryophyllales]","[caryophyllales]","[caryophyllales]","1.0","1.0","[caryophyllales]","[caryophyllales]","[caryophyllales]","[caryophyllales]","1.0","1.0","[cactaceae]","[cactaceae]","[cactaceae]","[cactaceae]","1.0","1.0","[cactaceae]","[cactaceae]","[cactaceae]","[cactaceae]","1.0","1.0"
"WekaMatchingRule","BIO00009","http://www.wikidata.org/entity/q2113084",,"0","abbottana clemataria","apanteles valvatus","abbottana clemataria","apanteles valvatus","0.0","0.0","abbottana clemataria","apanteles valvatus","abbottana clemataria","apanteles valvatus","0.25","0.25","Insect","Insect","Insect","Insect","1.0","1.0","[none]","[apanteles valvatus]","[none]","[apanteles valvatus]","0.11111111111111116","0.11111111111111116","[lepidoptera]","[hymenoptera]","[lepidoptera]","[hymenoptera]","0.0","0.0","[lepidoptera]","[hymenoptera]","[lepidoptera]","[hymenoptera]","0.5454545454545454","0.5454545454545454","[geometridae]","[braconidae]","[geometridae]","[braconidae]","0.0","0.0","[geometridae]","[braconidae]","[geometridae]","[braconidae]","0.36363636363636365","0.36363636363636365"
"WekaMatchingRule","BIO21306","http://www.wikidata.org/entity/q528405","0.02",,"hydroscapha","hydaticus agaboides","hydroscapha","hydaticus agaboides","0.0","0.0","hydroscapha","hydaticus agaboides","hydroscapha","hydaticus agaboides","0.26315789473684215","0.26315789473684215","Insect","Insect","Insect","Insect","1.0","1.0","[none]","[hydaticus agaboides]","[none]","[hydaticus agaboides]","0.10526315789473684","0.10526315789473684","[coleoptera]","[coleoptera]","[coleoptera]","[coleoptera]","1.0","1.0","[coleoptera]","[coleoptera]","[coleoptera]","[coleoptera]","1.0","1.0","[hydroscaphidae]","[dytiscidae]","[hydroscaphidae]","[dytiscidae]","0.0","0.0","[hydroscaphidae]","[dytiscidae]","[hydroscaphidae]","[dytiscidae]","0.5","0.5"
"WekaMatchingRule","BIO01222","http://www.wikidata.org/entity/q926089","0.12",,"allium","allium senescens","allium","allium senescens","0.5","0.5","allium","allium senescens","allium","allium senescens","0.375","0.375","Vascular Plant","Vascular Plant","Vascular Plant","Vascular Plant","1.0","1.0","[onion, wild onion]","[allium senescens]","[onion, wild onion]","[allium senescens]","0.25","0.25","[asparagales]","[asparagales, iridales, amaryllidales]","[asparagales]","[asparagales, iridales, amaryllidales]","1.0","1.0","[asparagales]","[asparagales, iridales, amaryllidales]","[asparagales]","[asparagales, iridales, amaryllidales]","1.0","1.0","[amaryllidaceae]","[amaryllidaceae, alliaceae]","[amaryllidaceae]","[amaryllidaceae, alliaceae]","1.0","1.0","[amaryllidaceae]","[amaryllidaceae, alliaceae]","[amaryllidaceae]","[amaryllidaceae, alliaceae]","1.0","1.0"
"WekaMatchingRule","BIO15027","http://www.wikidata.org/entity/q2133781","0.01",,"elaphidion mucronatus","elacatis variegatus","elaphidion mucronatus","elacatis variegatus","0.0","0.0","elaphidion mucronatus","elacatis variegatus","elaphidion mucronatus","elacatis variegatus","0.4285714285714286","0.4285714285714286","Insect","Insect","Insect","Insect","1.0","1.0","[none]","[elacatis variegatus]","[none]","[elacatis variegatus]","0.052631578947368474","0.052631578947368474","[coleoptera]","[coleoptera]","[coleoptera]","[coleoptera]","1.0","1.0","[coleoptera]","[coleoptera]","[coleoptera]","[coleoptera]","1.0","1.0","[cerambycidae]","[salpingidae]","[cerambycidae]","[salpingidae]","0.0","0.0","[cerambycidae]","[salpingidae]","[cerambycidae]","[salpingidae]","0.33333333333333337","0.33333333333333337"
"WekaMatchingRule","BIO08966","http://www.wikidata.org/entity/q1830181","0.0",,"chaetodipus","chaerephon aloysiisabaudiae","chaetodipus","chaerephon aloysiisabaudiae","0.0","0.0","chaetodipus","chaerephon aloysiisabaudiae","chaetodipus","chaerephon aloysiisabaudiae","0.2592592592592593","0.2592592592592593","Mammal","Mammal","Mammal","Mammal","1.0","1.0","[pocket mouse species, hispid pocket mice, coarse haired pocket mice, pocket mice]","[duke of abruzzis wrinkle lipped bat, duke of abruzzi’s free tailed bat, duke of abruzzi’s wrinkle lipped bat, abruzzis wrinkle lipped bat, duke of abruzzis free tailed bat, abruzzi’s wrinkle lipped bat, duke of abruzzis free tailed bat]","[pocket mouse species, hispid pocket mice, coarse haired pocket mice, pocket mice]","[duke of abruzzis wrinkle lipped bat, duke of abruzzi’s free tailed bat, duke of abruzzi’s wrinkle lipped bat, abruzzis wrinkle lipped bat, duke of abruzzis free tailed bat, abruzzi’s wrinkle lipped bat, duke of abruzzis free tailed bat]","0.22857142857142854","0.22857142857142854","[rodentia]","[chiroptera]","[rodentia]","[chiroptera]","0.0","0.0","[rodentia]","[chiroptera]","[rodentia]","[chiroptera]","0.19999999999999996","0.19999999999999996","[heteromyidae]","[molossidae]","[heteromyidae]","[molossidae]","0.0","0.0","[heteromyidae]","[molossidae]","[heteromyidae]","[molossidae]","0.41666666666666663","0.41666666666666663"
"WekaMatchingRule","BIO35622","http://www.wikidata.org/entity/q772976","0.0",,"prionotus tribulus","priolepis aureoviridis","prionotus tribulus","priolepis aureoviridis","0.0","0.0","prionotus tribulus","priolepis aureoviridis","prionotus tribulus","priolepis aureoviridis","0.40909090909090906","0.40909090909090906","Fish","Fish","Fish","Fish","1.0","1.0","[bighead searobin]","[priolepis aureoviridis]","[bighead searobin]","[priolepis aureoviridis]","0.2727272727272727","0.2727272727272727","[scorpaeniformes]","[gobiiformes]","[scorpaeniformes]","[gobiiformes]","0.0","0.0","[scorpaeniformes]","[gobiiformes]","[scorpaeniformes]","[gobiiformes]","0.5333333333333333","0.5333333333333333","[triglidae]","[gobiidae]","[triglidae]","[gobiidae]","0.0","0.0","[triglidae]","[gobiidae]","[triglidae]","[gobiidae]","0.4444444444444444","0.4444444444444444"
"WekaMatchingRule","BIO16969","http://www.wikidata.org/entity/q368496","0.02",,"eudonia nectarioides","eudocima jordani","eudonia nectarioides","eudocima jordani","0.0","0.0","eudonia nectarioides","eudocima jordani","eudonia nectarioides","eudocima jordani","0.4","0.4","Insect","Insect","Insect","Insect","1.0","1.0","[none]","[eudocima jordani]","[none]","[eudocima jordani]","0.125","0.125","[lepidoptera]","[lepidoptera]","[lepidoptera]","[lepidoptera]","1.0","1.0","[lepidoptera]","[lepidoptera]","[lepidoptera]","[lepidoptera]","1.0","1.0","[pyralidae]","[erebidae]","[pyralidae]","[erebidae]","0.0","0.0","[pyralidae]","[erebidae]","[pyralidae]","[erebidae]","0.5555555555555556","0.5555555555555556"
"WekaMatchingRule","BIO00752","http://www.wikidata.org/entity/q2165030",,"0","agapetus rossi","tipula cava","agapetus rossi","tipula cava","0.0","0.0","agapetus rossi","tipula cava","agapetus rossi","tipula cava","0.1428571428571429","0.1428571428571429","Insect","Insect","Insect","Insect","1.0","1.0","[none]","[tipula (lunatipula) cava]","[none]","[tipula (lunatipula) cava]","0.04166666666666663","0.04166666666666663","[trichoptera]","[diptera]","[trichoptera]","[diptera]","0.0","0.0","[trichoptera]","[diptera]","[trichoptera]","[diptera]","0.5454545454545454","0.5454545454545454","[glossosomatidae]","[tipulidae]","[glossosomatidae]","[tipulidae]","0.0","0.0","[glossosomatidae]","[tipulidae]","[glossosomatidae]","[tipulidae]","0.2666666666666667","0.2666666666666667"
"WekaMatchingRule","BIO13706","http://www.wikidata.org/entity/q652050","0.06",,"dicranomyia macateei","dicranomyia karma","dicranomyia macateei","dicranomyia karma","0.3333333333333333","0.3333333333333333","dicranomyia macateei","dicranomyia karma","dicranomyia macateei","dicranomyia karma","0.65","0.65","Insect","Insect","Insect","Insect","1.0","1.0","[none]","[dicranomyia (dicranomyia) karma]","[none]","[dicranomyia (dicranomyia) karma]","0.09677419354838712","0.09677419354838712","[diptera]","[diptera]","[diptera]","[diptera]","1.0","1.0","[diptera]","[diptera]","[diptera]","[diptera]","1.0","1.0","[tipulidae]","[limoniidae]","[tipulidae]","[limoniidae]","0.0","0.0","[tipulidae]","[limoniidae]","[tipulidae]","[limoniidae]","0.5","0.5"
"WekaMatchingRule","BIO18436","http://www.wikidata.org/entity/q1261387","0.0",,"gallinago delicata","gallinula ventralis","gallinago delicata","gallinula ventralis","0.0","0.0","gallinago delicata","gallinula ventralis","gallinago delicata","gallinula ventralis","0.4736842105263158","0.4736842105263158","Bird","Bird","Bird","Bird","1.0","1.0","[wilson s snipe, common snipe]","[black tailed nativehen, gallinula ventralis]","[wilson s snipe, common snipe]","[black tailed nativehen, gallinula ventralis]","0.21052631578947367","0.21052631578947367","[charadriiformes]","[dinosaur, saurischia, gruiformes, avetheropoda]","[charadriiformes]","[dinosaur, saurischia, gruiformes, avetheropoda]","0.0","0.0","[charadriiformes]","[dinosaur, saurischia, gruiformes, avetheropoda]","[charadriiformes]","[dinosaur, saurischia, gruiformes, avetheropoda]","0.5333333333333333","0.5333333333333333","[scolopacidae]","[rallidae]","[scolopacidae]","[rallidae]","0.0","0.0","[scolopacidae]","[rallidae]","[scolopacidae]","[rallidae]","0.41666666666666663","0.41666666666666663"
